Timestamp,Power,Fan,Temperature,Raw Temp Timestamp,First Crack,Second Crack
00:00,1,1,249,1704609995,False,False
00:01,1,1,242,1704609996,False,False
00:02,1,1,236,1704609997,False,False
00:03,4,1,235,1704609998,False,False
00:04,6,1,239,1704609999,False,False
00:05,9,1,240,1704610000,False,False
00:06,9,1,250,1704610001,False,False
00:07,9,2,241,1704610002,False,False
00:08,9,5,246,1704610003,False,False
00:09,9,5,235,1704610004,False,False
00:10,9,5,247,1704610005,False,False
00:11,9,5,236,1704610006,False,False
00:12,9,5,248,1704610007,True,False
00:13,9,5,250,1704610008,True,False
00:14,9,5,230,1704610009,True,False
00:15,9,5,246,1704610010,True,False
00:16,9,5,237,1704610011,True,False
00:17,9,5,248,1704610012,True,False
00:18,9,5,244,1704610013,True,False
00:19,9,5,235,1704610014,True,False
00:20,9,5,246,1704610015,True,False
00:21,9,5,242,1704610016,True,False
00:22,9,5,239,1704610017,True,False
00:23,9,5,249,1704610018,True,False
00:24,9,5,242,1704610019,True,False
00:25,9,5,250,1704610020,True,False
00:26,9,5,232,1704610021,True,False
00:27,9,5,240,1704610022,True,False
00:28,9,5,246,1704610023,True,False
00:29,9,5,233,1704610024,True,False
00:30,9,5,250,1704610025,True,False
00:31,9,5,232,1704610026,True,False
00:32,9,5,249,1704610027,True,False
00:33,9,5,247,1704610028,True,False
00:34,9,5,244,1704610029,True,False
00:35,9,5,249,1704610030,True,False
00:36,9,5,245,1704610031,True,False
00:37,9,5,234,1704610032,True,False
00:38,9,5,238,1704610033,True,False
00:39,9,5,239,1704610034,True,False
00:40,9,5,249,1704610035,True,False
00:41,9,5,234,1704610036,True,False
00:42,9,5,250,1704610037,True,False
00:43,9,5,233,1704610038,True,False
00:44,9,5,241,1704610039,True,False
00:45,9,5,245,1704610040,True,False
00:46,9,5,244,1704610041,True,False
00:47,9,5,242,1704610042,True,False
00:48,9,5,239,1704610043,True,False
00:49,9,5,249,1704610044,True,False
00:50,9,5,235,1704610045,True,False
00:51,9,5,230,1704610046,True,False
00:52,9,5,232,1704610047,True,False
00:53,9,5,230,1704610048,True,False
00:54,9,5,244,1704610049,True,False
00:55,9,5,249,1704610050,True,False
00:56,9,5,233,1704610051,True,False
00:57,9,5,230,1704610052,True,False
00:58,9,5,244,1704610053,True,False
00:59,9,5,230,1704610054,True,False
01:00,9,5,231,1704610055,True,False
01:01,9,5,247,1704610056,True,False
01:02,9,5,234,1704610057,True,False
01:03,9,5,230,1704610058,True,False
01:04,9,5,243,1704610059,True,False
01:05,9,5,245,1704610060,True,False
01:06,9,5,235,1704610061,True,False
01:07,9,5,242,1704610062,True,False
01:08,9,5,245,1704610063,True,False
01:09,9,5,233,1704610064,True,False
01:10,9,5,250,1704610065,True,False
01:11,9,5,231,1704610066,True,False
01:12,9,5,249,1704610067,True,False
01:13,9,5,235,1704610068,True,False
01:14,9,5,234,1704610069,True,False
01:15,9,5,233,1704610070,True,False
01:16,9,5,238,1704610071,True,False
01:17,9,5,232,1704610072,True,False
01:18,9,5,232,1704610073,True,False
01:19,9,5,242,1704610074,True,False
01:21,9,5,230,1704610076,True,False
01:22,9,5,245,1704610077,True,False
01:23,9,5,239,1704610078,True,False
01:24,9,5,240,1704610079,True,False
01:25,9,5,245,1704610080,True,False
01:26,9,5,245,1704610081,True,False
01:27,9,5,236,1704610082,True,False
01:28,9,5,242,1704610083,True,False
01:29,9,5,244,1704610084,True,False
01:30,9,5,235,1704610085,True,False
01:31,9,5,240,1704610086,True,False
01:32,9,5,240,1704610087,True,False
01:33,9,5,250,1704610088,True,False
01:34,9,5,239,1704610089,True,False
01:35,9,5,238,1704610090,True,False
01:36,9,5,241,1704610091,True,False
01:37,9,5,250,1704610092,True,False
01:38,9,5,245,1704610093,True,False
01:39,9,5,231,1704610094,True,False
01:40,9,5,235,1704610095,True,False
01:41,9,5,250,1704610096,True,False
01:42,9,5,246,1704610097,True,False
01:43,9,5,238,1704610098,True,False
01:44,9,5,230,1704610099,True,False
01:45,9,5,243,1704610100,True,False
01:46,9,5,243,1704610101,True,False
01:47,9,5,242,1704610102,True,False
01:48,9,5,234,1704610103,True,False
01:49,9,5,237,1704610104,True,False
01:50,9,5,248,1704610105,True,False
01:51,9,5,250,1704610106,True,False
01:52,9,5,248,1704610107,True,False
01:53,9,5,234,1704610108,True,False
01:54,9,5,243,1704610109,True,False
01:55,9,5,244,1704610110,True,False
01:56,9,5,241,1704610111,True,False
01:57,9,5,244,1704610112,True,False
01:58,9,5,235,1704610113,True,False
01:59,9,5,236,1704610114,True,False
02:00,9,5,237,1704610115,True,False
02:01,9,5,246,1704610116,True,False
02:02,9,5,245,1704610117,True,False
02:03,9,5,237,1704610118,True,False
02:04,9,5,248,1704610119,True,False
02:05,9,5,231,1704610120,True,False
02:06,9,5,242,1704610121,True,False
02:07,9,5,230,1704610122,True,False
