Timestamp,Power,Fan,Temperature,Raw Temp Timestamp,First Crack,Second Crack
00:00,1,1,239,1704612920,False,False
00:01,1,1,240,1704612921,False,False
00:02,4,1,244,1704612922,False,False
00:03,6,1,230,1704612923,False,False
00:04,7,1,237,1704612924,False,False
00:05,7,1,248,1704612925,False,False
00:06,5,1,240,1704612926,False,False
00:07,5,1,235,1704612927,False,False
00:08,5,1,242,1704612928,False,False
00:09,5,1,250,1704612929,False,False
00:10,5,1,246,1704612930,False,False
00:11,5,1,232,1704612931,False,False
00:12,5,1,248,1704612932,False,False
00:13,5,1,238,1704612933,False,False
00:14,5,1,250,1704612934,False,False
00:15,5,1,237,1704612935,False,False
00:16,5,1,238,1704612936,False,False
00:17,5,1,241,1704612937,False,False
00:18,5,1,232,1704612938,False,False
